File,Link
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://www.doi.org/10.7916/wq5p-p848
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://www.makingandknowing.org/bnf-ms-fr-640/
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://www.makingandknowing.org/bnf-ms-fr-640/
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://doi.org/10.7916/CJHD-WH90
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://doi.org/10.7916/WQ5P-P848
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://doi.org/10.2307/468775
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://www.folger.edu/shakespeare-unlimited/food-wendy-wall
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://doi.org/10.7916/WQ5P-P848
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://www.doi.org/10.7916/kfja-0v86
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://doi.org/10.7916/6ZZW-S813
./docs/fa21_jacobson_beah_final-project-know.md,https://voyant-tools.org/
./docs/fa21_jacobson_beah_final-project-know.md,https://www.oxygenxml.com/
./docs/fa21_jacobson_beah_final-project-know.md,../data/fa21_jacobson_beah_final-project-know_tl_know.xlsx
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/13r/f/13r/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/10r/f/10r/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/90r/f/90r/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/13r/f/13r/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/32r/f/32r/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/11r/f/11r/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/35r/f/35r/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/1r/f/1r/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/54v/f/54v/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/12r
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/24v/f/24v/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/125r/f/125r/tcn
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/#/folios/166r/f/166r/tl
./docs/fa21_jacobson_beah_final-project-know.md,https://cu-mkp.github.io/sandbox/docs/categories.html
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/
./docs/fa21_jacobson_beah_final-project-know.md,https://edition640.makingandknowing.org/
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://edition640.makingandknowing.org/#/folios/11v/f/11v/tl
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://recipes.hypotheses.org/3344
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://doi.org/10.4324/9781315608006-16
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://doi.org/10.1353/bhm.2008.0024
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://edition640.makingandknowing.org/#/essays/ann_058_sp_17
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://www.doi.org/10.7916/6ccz-7c74
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://edition640.makingandknowing.org/#/essays/ann_057_sp_17
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://www.doi.org/10.7916/wq5p-p848
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://edition640.makingandknowing.org/#/essays/ann_042_sp_16
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://www.doi.org/10.7916/a6bs-0765
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://doi.org/10.1353/jem.2011.0009
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://strangeremains.com/2017/01/31/beauty-to-die-for-how-vanity-killed-an-18th-century-celebutante/
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://doi.org/10.1021/ac902348g
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,http://ezproxy.cul.columbia.edu/login?url=https://www.proquest.com/books/cosmeticks-beautifying-part-physick-which-all/docview/2240935566/se-2?accountid=10226
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://doi.org/10.1353/bhm.2008.0024
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://doi.org/10.4324/9781315608006-16
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://doi.org/10.1021/ac902348g
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://edition640.makingandknowing.org/#/essays/ann_057_sp_17
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://www.doi.org/10.7916/wq5p-p848
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://recipes.hypotheses.org/3344
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://edition640.makingandknowing.org/#/essays/ann_042_sp_16
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://www.doi.org/10.7916/a6bs-0765
